libglu1-mesa-dev:amd64	9.0.2-1
libgnutls28-dev:amd64	3.7.3-4ubuntu1.9
libgnutls30:amd64	3.7.3-4ubuntu1.9
libgnutls30:i386	3.7.3-4ubuntu1.9
libgoogle-glog-dev	0.5.0+really0.4.0-2
libgpiod-dev:amd64	1.6.3-1build1
libgtest-dev:amd64	1.11.0-3
libgtk-3-dev:amd64	3.24.33-1ubuntu2.2
libiceoryx-binding-c-dev:amd64	1.0.1+dfsg-6
libiceoryx-posh-dev:amd64	1.0.1+dfsg-6
libiceoryx-utils-dev:amd64	1.0.1+dfsg-6
liblua5.1-0-dev:amd64	5.1.5-8.1build4
liblua5.2-dev:amd64	5.2.4-2
libmpc-dev:amd64	1.2.1-2build1
libnspr4:amd64	2:4.35-0ubuntu0.22.04.1
libnss3:amd64	2:3.98-0ubuntu0.22.04.4
libnss3-tools	2:3.98-0ubuntu0.22.04.4
libomp-15-dev	1:15.0.7-0ubuntu0.22.04.3
libopenblas0-pthread:amd64	0.3.20+ds-1
libopencv-dev	4.5.4+dfsg-9ubuntu4
libpam-systemd:amd64	249.11-0ubuntu3.22
libpango-1.0-0:amd64	1.50.6+ds-2ubuntu1
libpango-1.0-0:i386	1.50.6+ds-2ubuntu1
libpcl-dev	1.12.1+dfsg-3build1
libplot-dev	2.6-11
libpolly-15-dev:amd64	1:15.0.7~++20231019083512+8dfdcc7b7bf6-1~exp1~20231019203551.119
libprotobuf-dev:amd64	3.12.4-1ubuntu7.22.04.6
librime1:amd64	1.7.3+dfsg3-2build2
libsqlite3-dev:amd64	3.37.2-2ubuntu0.7
libssl-dev:amd64	3.0.2-0ubuntu1.26
libsuitesparse-dev:amd64	1:5.10.1+dfsg-4build1
libswscale-dev:amd64	7:4.4.2-0ubuntu0.22.04.1
libtinyxml2-dev:amd64	9.0.0+dfsg-3
libtool	2.4.6-15build2
libudev-dev:amd64	249.11-0ubuntu3.22
libunwind-15-dev:amd64	1:15.0.7-0ubuntu0.22.04.3
